"f0_box","temp","date_collected","sex","pronotum","rwing_length","rwing_width","lwing_length","lwing_width","rep","pron.w.ratio","sw.yn","rearing_density","days_to_hatch"
"B","28","31/07/2021","M",4.38,14.28,"4.66","",NA,"B.28.31/07/2021",0.30672268907563,"Lw",67,10
"B","28","31/07/2021","M",4.2,14.09,"4.45","",NA,"B.28.31/07/2021",0.298083747338538,"Lw",67,10
"B","28","31/07/2021","M",4.21,13.62,"4.41","",NA,"B.28.31/07/2021",0.309104258443466,"Lw",67,10
"B","28","31/07/2021","M",4.3,14.2,"4.8","",NA,"B.28.31/07/2021",0.302816901408451,"Lw",67,10
"B","28","31/07/2021","M",4,13.91,"4.59","",NA,"B.28.31/07/2021",0.287562904385334,"Lw",67,10
"B","28","31/07/2021","M",4.11,13.99,"4.48","",NA,"B.28.31/07/2021",0.293781272337384,"Lw",67,10
"B","28","31/07/2021","M",4.23,13.82,"4.47","",NA,"B.28.31/07/2021",0.306078147612156,"Lw",67,10
"B","28","31/07/2021","M",3.85,13.24,"4.43","",NA,"B.28.31/07/2021",0.290785498489426,"Lw",67,10
"B","28","31/07/2021","M",4.3,14.24,"4.47","",NA,"B.28.31/07/2021",0.301966292134831,"Lw",67,10
"B","28","31/07/2021","M",4.21,14.17,"4.7","",NA,"B.28.31/07/2021",0.297106563161609,"Lw",67,10
"B","28","31/07/2021","M",4.04,13.8,"4.48","",NA,"B.28.31/07/2021",0.292753623188406,"Lw",67,10
"B","28","31/07/2021","M",4.2,14.16,"4.68","",NA,"B.28.31/07/2021",0.296610169491525,"Lw",67,10
"B","28","31/07/2021","M",3.87,13.27,"4.33","",NA,"B.28.31/07/2021",0.291635267520723,"Lw",67,10
"B","28","31/07/2021","M",3.85,13.05,"4.36","",NA,"B.28.31/07/2021",0.295019157088123,"Lw",67,10
"B","28","31/07/2021","M",4.19,13.63,"4.49","",NA,"B.28.31/07/2021",0.307410124724872,"Lw",67,10
"A","25","20/08/2021","F",4.02,13.56,"","",NA,"A.25.20/08/2021",0.29646017699115,"Lw",404,14
"A","25","20/08/2021","F",3.69,13.36,"","",NA,"A.25.20/08/2021",0.276197604790419,"Lw",404,14
"A","25","20/08/2021","F",4.14,13.72,"","",NA,"A.25.20/08/2021",0.301749271137026,"Lw",404,14
"A","25","20/08/2021","F",4.05,13.54,"","",NA,"A.25.20/08/2021",0.299113737075332,"Lw",404,14
"A","25","20/08/2021","F",4.2,13.5,"","",NA,"A.25.20/08/2021",0.311111111111111,"Lw",404,14
"A","25","20/08/2021","F",4.19,13.85,"","",NA,"A.25.20/08/2021",0.302527075812274,"Lw",404,14
"A","25","20/08/2021","F",4.09,13.37,"","",NA,"A.25.20/08/2021",0.305908750934929,"Lw",404,14
